"","observer","ageclass","sex","cohort","year","age","grid","trialnumber","trialdate","walk","jump","hole","hang","chew","groom","still","front","back","attack","attacklatency","approachlatency","squirrel_id","OFT1","OFT2"
"23","AKB","J","F",2005,2005,0,"AG",1,2005-05-31,0.21128,0.0422222222222222,0.06,0.08764,0.0079,0.0115,0.1011,0.6038,0.1329,0.04,0.355,0.0231,11180,0.576089685328103,-1.09325187085614
"24","AKB","Y","F",2004,2005,1,"AG",1,2005-05-31,0.11604,0.0333333333333333,0.0311777777777778,0.4372,0,0.0243,0.1032,0.0192,0.0454,0,0.9781,0.793766666666667,6504,-0.159828952856133,0.374451650067985
"25","AKB","Y","F",2004,2005,1,"AG",1,2005-05-31,0.16308,0.0666666666666667,0.06,0.38278,0.0009,0.0261,0.0944,0.029,0,0,1,1,7017,0.592670963987452,-0.425913604536652
"26","AKB","A","F",2003,2005,2,"SU",1,2005-06-01,0.18176,0.124444444444444,0.0111111111111111,0.48134,0,0.0217,0.0155,0.2219,0.0775,0.00666666666666667,0.7548,0.150566666666667,6954,0.777408072255607,0.874284870911187
"27","AKB","Y","F",2004,2005,1,"AG",1,2005-06-02,0.17884,0.1,0.0202222222222222,0.55162,0,0.0307,0.0384,0,1,0,1,1,8493,0.604400225887572,0.804331620608998
"28","AKB","A","F",1998,2005,7,"SU",1,2005-06-04,0.39004,0.0666666666666667,0.0356666666666667,0.0857,0.0056,0.0309,0.074,0.7312,0.1307,0.08,0.0181,0.0429,6502,1.13405041764881,-0.869471072375027
"29","AKB","Y","M",2004,2005,1,"SU",1,2005-06-04,0.3099,0.111111111111111,0.0263333333333333,0.2305,0.014,0.0114,0.1423,0.4541,0.1503,0.0266666666666667,0.211,0.109233333333333,7636,1.0665658305674,-0.0596387624789447
"30","AKB","Y","M",2004,2005,1,"SU",1,2005-06-04,0.2242,0.1,0.02,0.5718,0,0.0149,0.0202,0.1484,0.1067,0.01,0.177566666666667,0.0582333333333333,6517,0.822959386232123,1.01567817089955
"31","AKB","A","M",2000,2005,5,"SU",1,2005-06-04,0.2581,0.111111111111111,0.00888888888888889,0.4089,0,0.0186,0.0092,0.73,0.0013,0,1,0.0363333333333333,6510,0.91780554561733,0.732279834115236
"32","AKB","Y","M",2004,2005,1,"SU",1,2005-06-05,0.133,0.0533333333333333,0.0378444444444444,0.5712,0,0.0639,0.0849,0.0054,0.6237,0,1,0.001,7818,0.0976004588368139,0.191468135032284
"33","AKB","Y","M",2004,2005,1,"SU",1,2005-06-05,0.2247,0.08,0.06,0.3382,0.0233,0.0316,0.1274,0,0.9513,0,1,0.0794666666666667,10220,0.899172855279382,-0.591455332983978
"34","AKB","Y","M",2004,2005,1,"SU",1,2005-06-05,0.0741,0.0155555555555556,0.0155555555555556,0.4296,0.0033,0.0166,0.3675,1,0,0,0.944133333333333,0.944133333333333,10786,-1.10032206180563,0.754206676101277
"35","AKB","A","M",2002,2005,3,"SU",1,2005-06-05,0.0994,0.0466666666666667,0.0488444444444444,0.153,0,0.0273,0.3865,0,0,0,1,1,6841,-0.486718290860103,-0.859815864184019
"36","AKB","Y","F",2004,2005,1,"KL",1,2005-06-06,0.2223,0.0755555555555556,0.0111111111111111,0.36052,0,0.0445,0.031,0.3479,0.2969,0.0533333333333333,0.135566666666667,0.131133333333333,6358,0.432117343837799,0.314546062610073
"37","AKB","Y","M",2004,2005,1,"KL",1,2005-06-06,0.1442,0.0422222222222222,0.0378444444444444,0.206,0,0.0333,0.3858,0.0023,0.57,0,1,0.575566666666667,6438,-0.495478919933183,-0.556487426756529
"38","AKB","Y","F",2004,2005,1,"KL",1,2005-06-06,0.0869,0.0488888888888889,0.0155555555555556,0.16132,0,0.0133,0.5355,0.9068,0,0,1,1,6391,-1.123357216005,-0.0198308867222983
"39","AKB","A","F",2001,2005,4,"KL",1,2005-06-06,0.0154,0.0111111111111111,0.00444444444444444,0.08824,0,0.0119,0.7813,0,1,0,1,1,7609,-2.27029985384551,0.0344185969780404
"40","AKB","A","M",2002,2005,3,"KL",1,2005-06-06,0.0304,0,0.00222222222222222,0,0,0.0078,0.8287,0,1,0,1,1,6509,-2.42231744995957,-0.129905697179833
"41","AKB","A","M",2001,2005,4,"KL",1,2005-06-07,0.0973,0.0555555555555556,0,0.729,0,0,0.0334,0.5209,0.2793,0.05,0.101333333333333,0.00686666666666667,6405,-0.17385185789822,2.09177249391288
"42","AKB","Y","M",2004,2005,1,"KL",1,2005-06-07,0.1022,0.0266666666666667,0.0155555555555556,0.078,0,0.008,0.4458,0.5287,0.2876,0.0166666666666667,0.312766666666667,0.0765333333333333,6313,-1.07484454624127,-0.180268247183202
"43","AKB","A","F",2001,2005,4,"KL",1,2005-06-07,0.0744,0.0155555555555556,0.0376666666666667,0.05248,0,0.0217,0.6419,0,1,0,1,1,6501,-1.43341198058926,-0.858636820225042
"44","AKB","A","F",1998,2005,7,"SU",1,2005-06-08,0.0468,0.0222222222222222,0.00444444444444444,0.26338,0,0.0505,0.5267,0.997,0,0,1,0.00333333333333333,6495,-1.64712449783687,0.145407004598252
"45","AKB","Y","M",2004,2005,1,"SU",1,2005-06-08,0.0194,0.0133333333333333,0.00888888888888889,0.3378,0,0.02,0.4805,0.0053,0.4446,0,1,0.513133333333333,6401,-1.61375130773025,0.596564613223579
"46","AKB","A","F",2002,2005,3,"SU",1,2005-06-08,0.1004,0.0422222222222222,0.0131111111111111,0.17466,0,0.0394,0.3494,0,1,0,1,1,6569,-0.849064189367956,-0.177244504955139
"47","AKB","Y","M",2004,2005,1,"SU",1,2005-06-09,0.1533,0.0866666666666667,0.0177777777777778,0.6156,0,0.0176,0.0802,0.3957,0.5087,0.09,0.449333333333333,0.385333333333333,7950,0.330085914085437,1.18094713538668
"48","AKB","A","F",2003,2005,2,"SU",1,2005-06-09,0.078,0.0311111111111111,0.00888888888888889,0.1268,0.3562,0.0155,0.2739,0.8533,0.0752,0.03,0.694133333333333,0.775333333333333,7172,0.152245209458918,0.819383300611179
"49","AKB","Y","M",2004,2005,1,"SU",1,2005-06-09,0.1383,0.0688888888888889,0.02,0.5495,0,0.0415,0.0268,0,0.9961,0,1,0.105433333333333,7312,0.20962123694155,0.725559501134811
"50","AKB","Y","M",2004,2005,1,"SU",1,2005-06-09,0.1409,0.0311111111111111,0.0245111111111111,0.0818,0.0084,0.0114,0.3065,0.0374,0.6008,0,1,0.262766666666667,7075,-0.525342662609494,-0.369469811024019
"51","AKB","A","M",2001,2005,4,"SU",1,2005-06-09,0.2031,0.06,0.0133333333333333,0.159,0,0.0969,0.2934,0,1,0,1,1,7385,-0.356721539772668,-0.854153384933016
"52","AKB","A","F",2002,2005,3,"KL",1,2005-06-11,0.38868,0.0933333333333333,0.0177777777777778,0.17556,0,0.0198,0.0989,0.2277,0.4741,0.0133333333333333,0.157866666666667,0.118666666666667,6538,1.12148207953612,-0.163533740213497
"53","AKB","A","M",2003,2005,2,"KL",1,2005-06-11,0.0962,0.0511111111111111,0.02,0.6537,0,0.0958,0.0203,0.0857,0.6245,0,1,0.323766666666667,8729,-0.167854999751274,0.486232128410095
