"Squirrel","date","tod","Feed","Forage","NestMove","NestNotMove","notmoving","Travel","total","Deploy","out","act","Grid","Treatment","Sex","Squirrel_ID"
"K6",2014-03-16,"day",15065,9410,2398,12899,1637,1239,42648,"February 2014",0.641319639842431,0.602935659350966,"KL","control","M",19884
"K6",2014-03-16,"dusk",0,0,154,2375,0,0,2529,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-16,"night",44,196,5119,33335,0,0,38694,"February 2014",0.00620251201736703,0.00620251201736703,"KL","control","M",19884
"K6",2014-03-17,"dawn",984,461,809,200,0,78,2532,"February 2014",0.601500789889415,0.601500789889415,"KL","control","M",19884
"K6",2014-03-17,"day",13149,13889,2543,7854,2559,2990,42984,"February 2014",0.758119300204727,0.69858552019356,"KL","control","M",19884
"K6",2014-03-17,"dusk",22,22,11,1221,1256,0,2532,"February 2014",0.513428120063191,0.0173775671406003,"KL","control","M",19884
"K6",2014-03-17,"night",44,0,4106,32576,1626,0,38352,"February 2014",0.0435440133500209,0.00114726741760534,"KL","control","M",19884
"K6",2014-03-18,"dawn",0,0,856,1678,0,0,2534,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-18,"day",14716,7672,2199,14592,3000,1142,43321,"February 2014",0.612405069135062,0.543154590152582,"KL","control","M",19884
"K6",2014-03-18,"dusk",0,0,88,2446,0,0,2534,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-18,"night",0,0,3258,34753,0,0,38011,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-19,"dawn",1463,899,0,0,0,175,2537,"February 2014",1,1,"KL","control","M",19884
"K6",2014-03-19,"day",16622,10017,1610,9337,4446,1625,43657,"February 2014",0.749249833932703,0.647410495453192,"KL","control","M",19884
"K6",2014-03-19,"dusk",0,0,154,2383,0,0,2537,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-19,"night",242,388,4550,31566,905,18,37669,"February 2014",0.041227534577504,0.0172024741830152,"KL","control","M",19884
"K6",2014-03-20,"dawn",462,964,885,33,22,175,2541,"February 2014",0.638724911452184,0.630066902794176,"KL","control","M",19884
"K6",2014-03-20,"day",14628,12489,2372,6454,5251,2799,43993,"February 2014",0.799377173641261,0.680017275475644,"KL","control","M",19884
