"Squirrel","date","tod","Feed","Forage","NestMove","NestNotMove","notmoving","Travel","total","Deploy","out","act","Grid","Treatment","Sex","Squirrel_ID"
"D2",2015-04-24,"dawn",803,668,0,0,1509,80,3060,"April 2015 Week 1",1,0.506862745098039,"SU","control","F-Lac",12003
"D2",2015-04-24,"day",20529,18371,4486,9572,812,1838,55608,"April 2015 Week 1",0.74719464825205,0.73259243274349,"SU","control","F-Lac",12003
"D2",2015-04-24,"dusk",0,0,184,2876,0,0,3060,"April 2015 Week 1",0,0,"SU","control","F-Lac",12003
"D2",2015-04-24,"night",154,22,1639,20828,2029,0,24672,"April 2015 Week 1",0.0893725680933852,0.00713359273670558,"SU","control","F-Lac",12003
"D2",2015-04-25,"dawn",0,131,1001,1938,0,20,3090,"April 2015 Week 1",0.0488673139158576,0.0488673139158576,"SU","control","F-Lac",12003
"D2",2015-04-25,"day",21809,22002,2452,5025,2475,2173,55936,"April 2015 Week 1",0.866329376430206,0.8220823798627,"SU","control","F-Lac",12003
"D2",2015-04-25,"dusk",0,0,253,2837,0,0,3090,"April 2015 Week 1",0,0,"SU","control","F-Lac",12003
"D2",2015-04-25,"night",0,0,2112,22172,0,0,24284,"April 2015 Week 1",0,0,"SU","control","F-Lac",12003
"D2",2015-04-26,"dawn",55,388,995,1608,0,75,3121,"April 2015 Week 1",0.165972444729253,0.165972444729253,"SU","control","F-Lac",12003
"D2",2015-04-26,"day",21532,18811,3658,8734,1485,2044,56264,"April 2015 Week 1",0.779752594909711,0.753359163941419,"SU","control","F-Lac",12003
"D2",2015-04-26,"dusk",0,0,193,2928,0,0,3121,"April 2015 Week 1",0,0,"SU","control","F-Lac",12003
"D2",2015-04-26,"night",0,0,1694,22200,0,0,23894,"April 2015 Week 1",0,0,"SU","control","F-Lac",12003
"D2",2015-04-27,"dawn",478,1063,715,772,0,125,3153,"April 2015 Week 1",0.528385664446559,0.528385664446559,"SU","control","F-Lac",12003
"D2",2015-04-27,"day",21933,22384,1552,6974,1375,2372,56590,"April 2015 Week 1",0.84933733875243,0.825039759674854,"SU","control","F-Lac",12003
"D2",2015-04-27,"dusk",206,212,762,1831,112,30,3153,"April 2015 Week 1",0.177608626704726,0.142086901363781,"SU","control","F-Lac",12003
"D2",2015-04-27,"night",0,0,2222,21282,0,0,23504,"April 2015 Week 1",0,0,"SU","control","F-Lac",12003
"D2",2015-04-28,"dawn",638,403,0,0,2126,20,3187,"April 2015 Week 1",1,0.332914967053655,"SU","control","F-Lac",12003
"D2",2015-04-28,"day",27961,19934,842,2268,3287,2624,56916,"April 2015 Week 1",0.94535807154403,0.887606296999086,"SU","control","F-Lac",12003
"D2",2015-04-28,"dusk",593,1102,34,553,814,90,3186,"April 2015 Week 1",0.815756434400502,0.560263653483992,"SU","control","F-Lac",12003
"D2",2015-04-28,"night",341,99,913,16520,5238,0,23111,"April 2015 Week 1",0.245683873480161,0.0190385530699667,"SU","control","F-Lac",12003
"D2",2015-04-29,"dawn",1172,876,0,0,1103,70,3221,"April 2015 Week 1",1,0.657559764048432,"SU","control","F-Lac",12003
"D2",2015-04-29,"day",24350,20093,2553,6902,1108,2234,57240,"April 2015 Week 1",0.834818308874913,0.815461215932914,"SU","control","F-Lac",12003
"D2",2015-04-29,"dusk",0,0,132,3089,0,0,3221,"April 2015 Week 1",0,0,"SU","control","F-Lac",12003
"D2",2015-04-29,"night",583,121,935,14189,6890,0,22718,"April 2015 Week 1",0.334272383132318,0.0309886433664935,"SU","control","F-Lac",12003
"D2",2015-04-30,"dawn",603,279,208,1593,534,40,3257,"April 2015 Week 1",0.447037150752226,0.283082591341726,"SU","control","F-Lac",12003
"D2",2015-04-30,"day",24548,19589,3375,5145,2533,2374,57564,"April 2015 Week 1",0.851990827600584,0.807987631158363,"SU","control","F-Lac",12003
"D2",2015-04-30,"dusk",277,220,660,1370,730,0,3257,"April 2015 Week 1",0.376727049431993,0.152594412035616,"SU","control","F-Lac",12003
"D2",2015-04-30,"night",865,291,1745,13554,5842,25,22322,"April 2015 Week 1",0.314622345667951,0.0529074455693934,"SU","control","F-Lac",12003
"E1",2015-04-24,"dawn",319,1196,733,706,0,106,3060,"April 2015 Week 1",0.529738562091503,0.529738562091503,"SU","control","M",20495
"E1",2015-04-24,"day",13390,24445,3130,9820,1235,3588,55608,"April 2015 Week 1",0.767119838872105,0.744910804200834,"SU","control","M",20495
"E1",2015-04-24,"dusk",107,171,121,2628,28,5,3060,"April 2015 Week 1",0.101633986928105,0.092483660130719,"SU","control","M",20495
"E1",2015-04-24,"night",132,333,2210,21922,44,31,24672,"April 2015 Week 1",0.0218871595330739,0.0201037613488975,"SU","control","M",20495
"E1",2015-04-25,"dawn",162,805,614,1399,0,110,3090,"April 2015 Week 1",0.348543689320388,0.348543689320388,"SU","control","M",20495
"E1",2015-04-25,"day",11914,24143,2898,12825,868,3288,55936,"April 2015 Week 1",0.718910898169336,0.703393163615561,"SU","control","M",20495
"E1",2015-04-25,"dusk",0,0,679,2411,0,0,3090,"April 2015 Week 1",0,0,"SU","control","M",20495
"E1",2015-04-25,"night",189,90,1807,22157,0,41,24284,"April 2015 Week 1",0.0131774007577005,0.0131774007577005,"SU","control","M",20495
"E1",2015-04-26,"dawn",77,369,789,1828,0,58,3121,"April 2015 Week 1",0.161486702979814,0.161486702979814,"SU","control","M",20495
"E1",2015-04-26,"day",14408,19931,4753,12545,2079,2548,56264,"April 2015 Week 1",0.692556519266316,0.655605715910707,"SU","control","M",20495
"E1",2015-04-26,"dusk",77,163,328,2483,55,15,3121,"April 2015 Week 1",0.0993271387375841,0.0817045818647869,"SU","control","M",20495
"E1",2015-04-26,"night",104,120,2074,21570,26,0,23894,"April 2015 Week 1",0.0104628777098853,0.00937473842805725,"SU","control","M",20495
"E1",2015-04-27,"dawn",308,795,412,1551,18,69,3153,"April 2015 Week 1",0.377418331747542,0.371709483032033,"SU","control","M",20495
"E1",2015-04-27,"day",13729,22262,3597,12601,759,3642,56590,"April 2015 Week 1",0.713765682982859,0.700353419332037,"SU","control","M",20495
"E1",2015-04-27,"dusk",363,1107,154,1181,190,158,3153,"April 2015 Week 1",0.576593720266413,0.516333650491595,"SU","control","M",20495
"E1",2015-04-27,"night",84,58,1904,21300,158,0,23504,"April 2015 Week 1",0.0127637848876787,0.00604152484683458,"SU","control","M",20495
"E1",2015-04-28,"dawn",3,23,613,2533,0,15,3187,"April 2015 Week 1",0.0128647631000941,0.0128647631000941,"SU","control","M",20495
"E1",2015-04-28,"day",15575,23500,3485,9302,968,4086,56916,"April 2015 Week 1",0.775335582261579,0.758328062407759,"SU","control","M",20495
"E1",2015-04-28,"dusk",77,545,664,1502,298,100,3186,"April 2015 Week 1",0.32015065913371,0.22661644695543,"SU","control","M",20495
"E1",2015-04-28,"night",195,390,1576,20735,165,50,23111,"April 2015 Week 1",0.0346155510363031,0.0274760936350656,"SU","control","M",20495
"E1",2015-04-29,"dawn",165,1411,430,960,0,255,3221,"April 2015 Week 1",0.568457000931388,0.568457000931388,"SU","control","M",20495
"E1",2015-04-29,"day",14391,29242,1118,6563,974,4952,57240,"April 2015 Week 1",0.865810621942697,0.848794549266247,"SU","control","M",20495
"E1",2015-04-29,"dusk",0,0,176,3045,0,0,3221,"April 2015 Week 1",0,0,"SU","control","M",20495
"E1",2015-04-29,"night",33,114,1704,20854,5,8,22718,"April 2015 Week 1",0.00704287349238489,0.00682278369574787,"SU","control","M",20495
"E1",2015-04-30,"dawn",0,57,651,2534,0,15,3257,"April 2015 Week 1",0.0221062327295057,0.0221062327295057,"SU","control","M",20495
"E1",2015-04-30,"day",15808,24671,2461,9135,1500,3989,57564,"April 2015 Week 1",0.798554652213189,0.772496699325968,"SU","control","M",20495
"E1",2015-04-30,"dusk",374,716,250,914,858,145,3257,"April 2015 Week 1",0.642615904206325,0.379183297513049,"SU","control","M",20495
"E1",2015-04-30,"night",286,304,2096,19459,157,20,22322,"April 2015 Week 1",0.0343607203655586,0.0273273004211092,"SU","control","M",20495
"E5",2015-05-01,"dawn",506,320,498,1837,113,20,3294,"April 2015 Week 1",0.291135397692775,0.256830601092896,"KL","control","F-Lac",11256
"E5",2015-05-01,"day",26153,15934,3120,9060,2321,1299,57887,"April 2015 Week 1",0.789590063399382,0.749494705201513,"KL","control","F-Lac",11256
"E5",2015-05-01,"dusk",363,364,98,1652,795,22,3294,"April 2015 Week 1",0.468731026108075,0.227383120825744,"KL","control","F-Lac",11256
"E5",2015-05-01,"night",276,238,835,20030,531,15,21925,"April 2015 Week 1",0.0483466362599772,0.0241277080957811,"KL","control","F-Lac",11256
"E5",2015-05-02,"dawn",424,235,1098,1413,121,42,3333,"April 2015 Week 1",0.246624662466247,0.21032103210321,"KL","control","F-Lac",11256
"E5",2015-05-02,"day",29216,14662,1867,4263,6627,1573,58208,"April 2015 Week 1",0.894688015393073,0.780837685541506,"KL","control","F-Lac",11256
"E5",2015-05-02,"dusk",0,0,691,2642,0,0,3333,"April 2015 Week 1",0,0,"KL","control","F-Lac",11256
"E5",2015-05-02,"night",0,0,1012,20504,10,0,21526,"April 2015 Week 1",0.00046455449224194,0,"KL","control","F-Lac",11256
"E5",2015-05-03,"dawn",724,781,530,996,297,45,3373,"April 2015 Week 1",0.54758375333531,0.459531574266232,"KL","control","F-Lac",11256
"E5",2015-05-03,"day",28256,19315,1532,2308,5238,1878,58527,"April 2015 Week 1",0.934389256240709,0.844892101081552,"KL","control","F-Lac",11256
"E5",2015-05-03,"dusk",128,177,84,2633,330,21,3373,"April 2015 Week 1",0.194485621108805,0.0966498665876075,"KL","control","F-Lac",11256
"E5",2015-05-03,"night",87,77,760,17067,3136,0,21127,"April 2015 Week 1",0.156198229753396,0.00776257869077484,"KL","control","F-Lac",11256
"E5",2015-05-04,"dawn",437,322,612,1760,250,34,3415,"April 2015 Week 1",0.305417276720351,0.232210834553441,"KL","control","F-Lac",11256
"E5",2015-05-04,"day",26975,16027,2624,4515,7028,1677,58846,"April 2015 Week 1",0.878683342962988,0.75925296536723,"KL","control","F-Lac",11256
"E5",2015-05-04,"dusk",0,0,132,3162,120,0,3414,"April 2015 Week 1",0.0351493848857645,0,"KL","control","F-Lac",11256
"E5",2015-05-04,"night",118,0,641,17078,2888,0,20725,"April 2015 Week 1",0.145042219541616,0.00569360675512666,"KL","control","F-Lac",11256
"E5",2015-05-05,"dawn",403,468,235,2022,319,10,3457,"April 2015 Week 1",0.347121781891814,0.254845241538907,"KL","control","F-Lac",11256
"E5",2015-05-05,"day",27088,15206,2452,4188,8329,1900,59163,"April 2015 Week 1",0.887767692645741,0.74698713723104,"KL","control","F-Lac",11256
"E5",2015-05-05,"dusk",231,123,156,2164,732,51,3457,"April 2015 Week 1",0.328897888342494,0.117153601388487,"KL","control","F-Lac",11256
"E5",2015-05-05,"night",120,0,581,15912,3710,0,20323,"April 2015 Week 1",0.188456428676869,0.00590464006298283,"KL","control","F-Lac",11256
"E5",2015-05-06,"dawn",275,729,297,1677,414,110,3502,"April 2015 Week 1",0.436322101656196,0.318103940605368,"KL","control","F-Lac",11256
"E5",2015-05-06,"day",26393,16641,3466,5194,5898,1886,59478,"April 2015 Week 1",0.854399946198594,0.755237230572649,"KL","control","F-Lac",11256
"E5",2015-05-06,"dusk",418,570,429,879,1116,90,3502,"April 2015 Week 1",0.626499143346659,0.307824100513992,"KL","control","F-Lac",11256
"E5",2015-05-06,"night",382,212,802,16122,2385,15,19918,"April 2015 Week 1",0.150316296816949,0.0305753589717843,"KL","control","F-Lac",11256
"E5",2015-05-07,"dawn",748,742,310,1400,319,30,3549,"April 2015 Week 1",0.518174133558749,0.42828965905889,"KL","control","F-Lac",11256
"E5",2015-05-07,"day",26969,18297,1142,4088,6625,2670,59791,"April 2015 Week 1",0.91252864143433,0.801726012276095,"KL","control","F-Lac",11256
"E5",2015-05-07,"dusk",156,207,659,1909,506,111,3548,"April 2015 Week 1",0.276211950394589,0.133596392333709,"KL","control","F-Lac",11256
"E5",2015-05-07,"night",529,253,767,15595,2368,0,19512,"April 2015 Week 1",0.161439114391144,0.0400779007790078,"KL","control","F-Lac",11256
"E5",2015-05-08,"dawn",924,468,436,1710,5,53,3596,"April 2015 Week 1",0.403225806451613,0.401835372636263,"KL","control","F-Lac",11256
"E5",2015-05-08,"day",26679,19612,1099,2111,7894,2708,60103,"April 2015 Week 1",0.946591684275327,0.815250486664559,"KL","control","F-Lac",11256
"E5",2015-05-08,"dusk",249,176,221,2728,212,10,3596,"April 2015 Week 1",0.17992213570634,0.120967741935484,"KL","control","F-Lac",11256
"E5",2015-05-08,"night",199,74,720,14475,3627,10,19105,"April 2015 Week 1",0.20465846637006,0.0148128762104161,"KL","control","F-Lac",11256
"E5",2015-05-09,"dawn",649,653,812,1301,162,69,3646,"April 2015 Week 1",0.42046077893582,0.376028524410313,"KL","control","F-Lac",11256
"E5",2015-05-09,"day",22792,17048,2466,7404,8326,2376,60412,"April 2015 Week 1",0.836621863205986,0.698801562603456,"KL","control","F-Lac",11256
"E5",2015-05-09,"dusk",396,449,132,1558,1095,16,3646,"April 2015 Week 1",0.536478332419089,0.236149204607789,"KL","control","F-Lac",11256
"E5",2015-05-09,"night",154,67,1057,15844,1573,1,18696,"April 2015 Week 1",0.0960098416773641,0.0118741976893453,"KL","control","F-Lac",11256
"F1",2015-04-24,"dawn",232,473,714,1597,0,44,3060,"April 2015 Week 1",0.244771241830065,0.244771241830065,"KL","control","F-Lac",12285
"F1",2015-04-24,"day",23625,16109,3399,7071,3159,2245,55608,"April 2015 Week 1",0.811717738454899,0.754909365558912,"KL","control","F-Lac",12285
"F1",2015-04-24,"dusk",239,536,374,1783,48,80,3060,"April 2015 Week 1",0.295098039215686,0.279411764705882,"KL","control","F-Lac",12285
"F1",2015-04-24,"night",11,0,1221,23311,129,0,24672,"April 2015 Week 1",0.00567444876783398,0.000445849546044099,"KL","control","F-Lac",12285
"F1",2015-04-25,"dawn",528,942,0,0,1432,188,3090,"April 2015 Week 1",1,0.536569579288026,"KL","control","F-Lac",12285
"F1",2015-04-25,"day",21422,16769,4585,9426,1847,1887,55936,"April 2015 Week 1",0.749517305491991,0.716497425629291,"KL","control","F-Lac",12285
"F1",2015-04-25,"dusk",89,31,628,2342,0,0,3090,"April 2015 Week 1",0.0388349514563107,0.0388349514563107,"KL","control","F-Lac",12285
"F1",2015-04-25,"night",154,33,1573,19366,3158,0,24284,"April 2015 Week 1",0.137745017295339,0.00770054356778125,"KL","control","F-Lac",12285
"F1",2015-04-26,"dawn",484,321,286,1603,401,26,3121,"April 2015 Week 1",0.394745273950657,0.266260813841717,"KL","control","F-Lac",12285
"F1",2015-04-26,"day",21877,17825,3855,6685,3677,2345,56264,"April 2015 Week 1",0.81266884686478,0.747316223517702,"KL","control","F-Lac",12285
"F1",2015-04-26,"dusk",341,557,417,1740,33,33,3121,"April 2015 Week 1",0.308875360461391,0.298301826337712,"KL","control","F-Lac",12285
"F1",2015-04-26,"night",158,210,1305,19919,2292,10,23894,"April 2015 Week 1",0.111743533941575,0.0158198710973466,"KL","control","F-Lac",12285
"F1",2015-04-27,"dawn",1045,971,107,366,541,123,3153,"April 2015 Week 1",0.849984142086901,0.678401522359657,"KL","control","F-Lac",12285
"F1",2015-04-27,"day",22974,17954,2484,7096,3569,2513,56590,"April 2015 Week 1",0.830712139954055,0.76764446015197,"KL","control","F-Lac",12285
"F1",2015-04-27,"dusk",263,145,595,1998,143,9,3153,"April 2015 Week 1",0.177608626704726,0.132254995242626,"KL","control","F-Lac",12285
"F1",2015-04-27,"night",21,0,1352,21862,269,0,23504,"April 2015 Week 1",0.0123383253914227,0.000893464942137508,"KL","control","F-Lac",12285
"F1",2015-04-28,"dawn",394,99,216,514,1964,0,3187,"April 2015 Week 1",0.770944461876373,0.154690931910888,"KL","control","F-Lac",12285
"F1",2015-04-28,"day",25666,15259,2208,6532,5359,1892,56916,"April 2015 Week 1",0.846440368262,0.752284067748963,"KL","control","F-Lac",12285
"F1",2015-04-28,"dusk",213,504,572,1629,156,112,3186,"April 2015 Week 1",0.309165097300691,0.260200878844947,"KL","control","F-Lac",12285
"F1",2015-04-28,"night",319,109,1561,17158,3951,13,23111,"April 2015 Week 1",0.190039375189304,0.0190818225087621,"KL","control","F-Lac",12285
"F1",2015-04-29,"dawn",127,328,632,1680,424,30,3221,"April 2015 Week 1",0.282210493635517,0.150574355790127,"KL","control","F-Lac",12285
"F1",2015-04-29,"day",22354,15550,4585,10114,2558,2079,57240,"April 2015 Week 1",0.743204053109713,0.698515024458421,"KL","control","F-Lac",12285
"F1",2015-04-29,"dusk",0,0,471,2750,0,0,3221,"April 2015 Week 1",0,0,"KL","control","F-Lac",12285
"F1",2015-04-29,"night",247,154,1260,16958,4099,0,22718,"April 2015 Week 1",0.198080816973325,0.0176512016902896,"KL","control","F-Lac",12285
"F1",2015-04-30,"dawn",374,43,377,1273,1180,10,3257,"April 2015 Week 1",0.493398833282161,0.131102241326374,"KL","control","F-Lac",12285
"F1",2015-04-30,"day",21957,15656,5032,10532,2160,2227,57564,"April 2015 Week 1",0.729622680842193,0.692099228684595,"KL","control","F-Lac",12285
"F1",2015-04-30,"dusk",147,69,554,2162,325,0,3257,"April 2015 Week 1",0.166103776481425,0.066318698188517,"KL","control","F-Lac",12285
"F1",2015-04-30,"night",293,201,1688,17043,3083,14,22322,"April 2015 Week 1",0.16087268165935,0.0227578173998746,"KL","control","F-Lac",12285
"F6",2015-04-24,"dawn",858,980,540,552,0,130,3060,"April 2015 Week 1",0.643137254901961,0.643137254901961,"KL","control","M",20645
"F6",2015-04-24,"day",17843,18155,3831,13155,719,1905,55608,"April 2015 Week 1",0.694540353905913,0.681610559631708,"KL","control","M",20645
"F6",2015-04-24,"dusk",0,0,66,2994,0,0,3060,"April 2015 Week 1",0,0,"KL","control","M",20645
"F6",2015-04-24,"night",242,258,1993,21849,282,48,24672,"April 2015 Week 1",0.0336413748378729,0.0222114137483787,"KL","control","M",20645
"F6",2015-04-25,"dawn",503,1546,396,530,0,115,3090,"April 2015 Week 1",0.700323624595469,0.700323624595469,"KL","control","M",20645
"F6",2015-04-25,"day",17313,23172,2476,8844,724,3407,55936,"April 2015 Week 1",0.79762585812357,0.784682494279176,"KL","control","M",20645
"F6",2015-04-25,"dusk",0,0,286,2804,0,0,3090,"April 2015 Week 1",0,0,"KL","control","M",20645
"F6",2015-04-25,"night",55,132,2013,21801,283,0,24284,"April 2015 Week 1",0.0193543073628727,0.00770054356778125,"KL","control","M",20645
"F6",2015-04-26,"dawn",116,889,820,1190,11,95,3121,"April 2015 Week 1",0.355975648830503,0.352451137455944,"KL","control","M",20645
"F6",2015-04-26,"day",17730,27992,1256,4169,940,4177,56264,"April 2015 Week 1",0.903579553533343,0.886872600597185,"KL","control","M",20645
"F6",2015-04-26,"dusk",0,0,396,2725,0,0,3121,"April 2015 Week 1",0,0,"KL","control","M",20645
"F6",2015-04-26,"night",0,0,1188,22706,0,0,23894,"April 2015 Week 1",0,0,"KL","control","M",20645
"F6",2015-04-27,"dawn",374,786,640,1114,129,110,3153,"April 2015 Week 1",0.443704408499841,0.40279099270536,"KL","control","M",20645
"F6",2015-04-27,"day",17663,24246,2357,7242,1404,3678,56590,"April 2015 Week 1",0.83037639158862,0.80556635447959,"KL","control","M",20645
"F6",2015-04-27,"dusk",0,0,110,3043,0,0,3153,"April 2015 Week 1",0,0,"KL","control","M",20645
"F6",2015-04-27,"night",98,202,1849,21195,155,5,23504,"April 2015 Week 1",0.019571136827774,0.0129765146358067,"KL","control","M",20645
"F6",2015-04-28,"dawn",143,587,665,1672,85,35,3187,"April 2015 Week 1",0.266708503294634,0.240037652965171,"KL","control","M",20645
"F6",2015-04-28,"day",20289,20176,2913,9743,1182,2613,56916,"April 2015 Week 1",0.777637219762457,0.756869772998805,"KL","control","M",20645
"F6",2015-04-28,"dusk",11,191,511,2275,163,35,3186,"April 2015 Week 1",0.125549278091651,0.0743879472693032,"KL","control","M",20645
"F6",2015-04-28,"night",0,0,1529,21582,0,0,23111,"April 2015 Week 1",0,0,"KL","control","M",20645
"F6",2015-04-29,"dawn",309,1297,681,682,132,120,3221,"April 2015 Week 1",0.576839490841354,0.535858429059298,"KL","control","M",20645
"F6",2015-04-29,"day",17311,28783,1526,5052,758,3810,57240,"April 2015 Week 1",0.88508036338225,0.871837875611461,"KL","control","M",20645
"F6",2015-04-29,"dusk",0,0,110,3111,0,0,3221,"April 2015 Week 1",0,0,"KL","control","M",20645
"F6",2015-04-29,"night",44,78,1471,21057,58,10,22718,"April 2015 Week 1",0.00836341227220706,0.00581037063121754,"KL","control","M",20645
"F6",2015-04-30,"dawn",187,972,360,1588,0,150,3257,"April 2015 Week 1",0.401903592262819,0.401903592262819,"KL","control","M",20645
"F6",2015-04-30,"day",17907,27931,1405,5395,1040,3886,57564,"April 2015 Week 1",0.881870613577931,0.863803766242791,"KL","control","M",20645
"F6",2015-04-30,"dusk",302,752,72,1528,473,130,3257,"April 2015 Week 1",0.508750383788763,0.363524715996316,"KL","control","M",20645
"F6",2015-04-30,"night",0,0,1199,21123,0,0,22322,"April 2015 Week 1",0,0,"KL","control","M",20645
"G2",2015-04-24,"dawn",253,647,769,1322,0,69,3060,"April 2015 Week 1",0.316666666666667,0.316666666666667,"KL","control","M",20836
"G2",2015-04-24,"day",20129,18548,2945,9765,1884,2337,55608,"April 2015 Week 1",0.771435764638182,0.737555747374478,"KL","control","M",20836
"G2",2015-04-24,"dusk",525,389,187,1870,49,40,3060,"April 2015 Week 1",0.327777777777778,0.311764705882353,"KL","control","M",20836
"G2",2015-04-24,"night",0,0,1947,22725,0,0,24672,"April 2015 Week 1",0,0,"KL","control","M",20836
"G2",2015-04-25,"dawn",33,207,723,2092,0,35,3090,"April 2015 Week 1",0.0889967637540453,0.0889967637540453,"KL","control","M",20836
"G2",2015-04-25,"day",22965,19588,2227,7404,965,2787,55936,"April 2015 Week 1",0.827821081235698,0.810569221967963,"KL","control","M",20836
"G2",2015-04-25,"dusk",42,33,277,2673,65,0,3090,"April 2015 Week 1",0.0453074433656958,0.0242718446601942,"KL","control","M",20836
"G2",2015-04-25,"night",38,0,1106,23098,42,0,24284,"April 2015 Week 1",0.00329435018942514,0.00156481633997694,"KL","control","M",20836
"G2",2015-04-26,"dawn",209,395,874,1575,0,68,3121,"April 2015 Week 1",0.215315603973086,0.215315603973086,"KL","control","M",20836
"G2",2015-04-26,"day",22768,21567,2258,6088,660,2923,56264,"April 2015 Week 1",0.851663585951941,0.839933172188255,"KL","control","M",20836
"G2",2015-04-26,"dusk",0,0,132,2989,0,0,3121,"April 2015 Week 1",0,0,"KL","control","M",20836
"G2",2015-04-26,"night",0,0,869,23025,0,0,23894,"April 2015 Week 1",0,0,"KL","control","M",20836
"G2",2015-04-27,"dawn",286,838,723,1190,11,105,3153,"April 2015 Week 1",0.393276244846178,0.389787503964478,"KL","control","M",20836
"G2",2015-04-27,"day",23153,22260,2718,4532,1034,2893,56590,"April 2015 Week 1",0.87188549213642,0.853613712670083,"KL","control","M",20836
"G2",2015-04-27,"dusk",88,121,363,2520,61,0,3153,"April 2015 Week 1",0.0856327307326356,0.0662860767522994,"KL","control","M",20836
"G2",2015-04-27,"night",186,39,1101,22083,90,5,23504,"April 2015 Week 1",0.0136147038801906,0.009785568413887,"KL","control","M",20836
"G2",2015-04-28,"dawn",22,313,1034,1774,0,44,3187,"April 2015 Week 1",0.118920614998431,0.118920614998431,"KL","control","M",20836
"G2",2015-04-28,"day",21897,13696,4132,14228,1139,1824,56916,"April 2015 Week 1",0.67741935483871,0.657407407407407,"KL","control","M",20836
"G2",2015-04-28,"dusk",831,961,174,707,253,260,3186,"April 2015 Week 1",0.723477715003139,0.644067796610169,"KL","control","M",20836
"G2",2015-04-28,"night",66,102,1186,21625,122,10,23111,"April 2015 Week 1",0.0129808316386136,0.00770196010557743,"KL","control","M",20836
"G2",2015-04-29,"dawn",0,0,671,2550,0,0,3221,"April 2015 Week 1",0,0,"KL","control","M",20836
"G2",2015-04-29,"day",23078,22098,2285,6215,700,2864,57240,"April 2015 Week 1",0.851502445842068,0.839273235499651,"KL","control","M",20836
"G2",2015-04-29,"dusk",0,0,154,3067,0,0,3221,"April 2015 Week 1",0,0,"KL","control","M",20836
"G2",2015-04-29,"night",83,91,1465,21073,6,0,22718,"April 2015 Week 1",0.007923232678933,0.00765912492296857,"KL","control","M",20836
"G2",2015-04-30,"dawn",41,459,885,1852,0,20,3257,"April 2015 Week 1",0.159656125268652,0.159656125268652,"KL","control","M",20836
"G2",2015-04-30,"day",19762,18473,3606,12204,1040,2479,57564,"April 2015 Week 1",0.725349176568689,0.707282329233549,"KL","control","M",20836
"G2",2015-04-30,"dusk",429,544,11,1770,473,30,3257,"April 2015 Week 1",0.453177770954866,0.307952103162419,"KL","control","M",20836
"G2",2015-04-30,"night",91,13,1442,20760,11,5,22322,"April 2015 Week 1",0.00537586237792313,0.00488307499328017,"KL","control","M",20836
"H6",2015-04-24,"dawn",1430,1223,0,0,277,130,3060,"April 2015 Week 1",1,0.909477124183007,"KL","control","F-Lac",12305
"H6",2015-04-24,"day",22552,9694,4721,12459,5097,1085,55608,"April 2015 Week 1",0.691051647245001,0.599392173787944,"KL","control","F-Lac",12305
"H6",2015-04-24,"dusk",723,331,531,1424,0,51,3060,"April 2015 Week 1",0.361111111111111,0.361111111111111,"KL","control","F-Lac",12305
"H6",2015-04-24,"night",1485,704,561,11554,10368,0,24672,"April 2015 Week 1",0.508957522697795,0.0887240596627756,"KL","control","F-Lac",12305
"H6",2015-04-25,"dawn",1658,991,0,0,343,98,3090,"April 2015 Week 1",1,0.888996763754045,"KL","control","F-Lac",12305
"H6",2015-04-25,"day",25086,8827,5052,9197,6918,856,55936,"April 2015 Week 1",0.745262442791762,0.621585383295195,"KL","control","F-Lac",12305
"H6",2015-04-25,"dusk",0,0,915,2175,0,0,3090,"April 2015 Week 1",0,0,"KL","control","F-Lac",12305
"H6",2015-04-25,"night",1397,474,440,7791,14172,10,24284,"April 2015 Week 1",0.661052544885521,0.0774584088288585,"KL","control","F-Lac",12305
"H6",2015-04-26,"dawn",1232,1144,0,0,651,94,3121,"April 2015 Week 1",1,0.791413008651073,"KL","control","F-Lac",12305
"H6",2015-04-26,"day",28077,11298,3673,8947,3010,1259,56264,"April 2015 Week 1",0.775700270154984,0.722202474050903,"KL","control","F-Lac",12305
"H6",2015-04-26,"dusk",187,204,849,1836,45,0,3121,"April 2015 Week 1",0.139698814482538,0.12528035885934,"KL","control","F-Lac",12305
"H6",2015-04-26,"night",1397,99,339,7416,14643,0,23894,"April 2015 Week 1",0.675441533439357,0.0626098602159538,"KL","control","F-Lac",12305
"H6",2015-04-27,"dawn",1932,965,0,0,165,91,3153,"April 2015 Week 1",1,0.9476688867745,"KL","control","F-Lac",12305
"H6",2015-04-27,"day",24937,10466,5310,12398,2254,1225,56590,"April 2015 Week 1",0.687082523414031,0.647252164693409,"KL","control","F-Lac",12305
"H6",2015-04-27,"dusk",0,0,220,2932,1,0,3153,"April 2015 Week 1",0.000317158261972724,0,"KL","control","F-Lac",12305
"H6",2015-04-27,"night",2209,941,682,9621,9991,60,23504,"April 2015 Week 1",0.561649081007488,0.136572498298162,"KL","control","F-Lac",12305
"H6",2015-04-28,"dawn",1012,1024,99,511,394,147,3187,"April 2015 Week 1",0.80859742704738,0.684970191402573,"KL","control","F-Lac",12305
"H6",2015-04-28,"day",26524,12393,2526,5474,8485,1514,56916,"April 2015 Week 1",0.859441984679176,0.710362639679528,"KL","control","F-Lac",12305
"H6",2015-04-28,"dusk",1080,502,731,798,16,59,3186,"April 2015 Week 1",0.520087884494664,0.515065913370998,"KL","control","F-Lac",12305
