"","squirrel_id","axy_yr","axy.local.density","axy_avg_fam"
"1",12678,2015,4.52037708189999,173.958333333333
"2",19537,2015,4.70872612697915,150.68
"3",13288,2015,3.01358472126666,133.3125
"4",12003,2015,3.20193376634582,299.058823529412
"5",20495,2015,2.82523567618749,150.2
"6",11256,2015,5.83882039745415,122.322580645161
"7",12285,2015,3.39028281142499,154.944444444444
"8",20645,2015,6.02716944253331,147.9375
"9",20836,2015,5.27377326221665,132.642857142857
"10",12305,2015,5.83882039745415,151.548387096774
"11",19880,2015,3.39028281142499,137.777777777778
"12",13179,2015,4.33202803682082,184.739130434783
"13",11722,2015,0,0
"14",21004,2015,4.52037708189999,129.5
"15",21297,2015,4.33202803682082,106.173913043478
"16",20409,2015,4.14367899174165,130.090909090909
"17",12509,2015,3.39028281142499,131.666666666667
"18",13305,2015,4.14367899174165,170.727272727273
"19",20862,2015,4.52037708189999,0
"20",20059,2015,3.01358472126666,144
"21",19764,2015,5.46212230729582,164.241379310345
"22",13092,2015,1.88349045079166,186.3
"23",21382,2015,5.83882039745415,0
"24",19718,2015,2.63688663110833,187.642857142857
"25",19516,2015,1.50679236063333,173.125
"26",21276,2015,1.69514140571249,131.666666666667
"27",20567,2015,2.82523567618749,0
"28",12027,2016,2.26018854094999,417.416666666667
"29",21279,2016,2.07183949587083,422.454545454545
"30",20729,2016,3.76698090158332,123
"31",21117,2016,2.07183949587083,111.818181818182
"32",20942,2016,0,0
"33",20198,2016,2.07183949587083,634.636363636364
"34",22068,2016,5.08542421713748,123
"35",12028,2016,2.63688663110833,753
"36",12653,2016,1.50679236063333,324.875
"37",20525,2016,1.50679236063333,278.875
"38",20729,2015,4.52037708189999,69
"39",21393,2015,4.52037708189999,76.6666666666667
"40",11737,2015,3.01358472126666,74.75
"41",19962,2015,3.95532994666249,0
"42",12177,2015,4.89707517205832,391.384615384615
"43",20198,2015,3.57863185650416,176.157894736842
"44",20873,2015,5.46212230729582,69.7931034482759
"45",19983,2015,4.52037708189999,166.166666666667
"46",13487,2015,4.52037708189999,190.291666666667
"47",20295,2015,5.46212230729582,69.7931034482759
"48",19795,2015,3.76698090158332,292.15
"49",20191,2015,5.27377326221665,193.285714285714
"50",20634,2015,5.46212230729582,235.931034482759
"51",19583,2015,1.88349045079166,224.9
"52",20004,2015,5.46212230729582,195.344827586207
"53",10617,2015,5.46212230729582,339.275862068966
"54",19907,2015,4.89707517205832,200.307692307692
"55",19347,2015,3.20193376634582,274.235294117647
"56",20166,2015,4.70872612697915,84.64
"57",19917,2015,4.89707517205832,0
"58",19819,2015,2.82523567618749,231.266666666667
"59",20921,2016,3.57863185650416,551.105263157895
"60",20904,2016,3.39028281142499,493
"61",20904,2017,3.76698090158332,0
"62",19815,2016,3.95532994666249,524.285714285714
"63",19815,2017,3.57863185650416,499.894736842105
"64",20729,2017,3.57863185650416,0
"65",21332,2016,3.20193376634582,445.941176470588
"66",21332,2017,3.39028281142499,566.277777777778
"67",20223,2016,3.57863185650416,532.105263157895
"68",20223,2017,3.57863185650416,629.684210526316
"69",22068,2017,0,0
"70",19890,2016,3.95532994666249,413.904761904762
"71",19890,2017,0,0
"72",13487,2017,3.01358472126666,519.3125
"73",19974,2016,3.01358472126666,86.25
"74",19974,2017,2.63688663110833,260.714285714286
"75",20712,2016,3.01358472126666,303.5
"76",20712,2017,3.01358472126666,398.9375
"77",20914,2016,2.63688663110833,309.928571428571
"78",20914,2017,2.63688663110833,480.214285714286
"79",22465,2016,1.69514140571249,109.333333333333
"80",22465,2017,1.69514140571249,324.444444444444
"81",21923,2016,2.63688663110833,246.214285714286
"82",21923,2017,3.01358472126666,462.125
"83",20169,2016,3.01358472126666,423.1875
"84",20169,2017,0,0
"85",12148,2016,2.07183949587083,329.909090909091
"86",12148,2017,2.26018854094999,487.083333333333
"87",13258,2016,1.88349045079166,536.4
"88",13258,2017,0,0
"89",21599,2015,0,0
"90",21389,2015,3.76698090158332,92
"91",21389,2016,3.57863185650416,327.473684210526
"92",20141,2015,3.57863185650416,77.4736842105263
"93",20141,2016,2.82523567618749,189.066666666667
"94",12236,2015,5.08542421713748,254.703703703704
"95",12236,2016,4.14367899174165,429.636363636364
"96",21086,2015,3.20193376634582,81.1764705882353
"97",19981,2015,4.70872612697915,172.68
"98",19243,2015,4.33202803682082,182.695652173913
"99",21222,2015,5.27377326221665,75.5714285714286
"100",20866,2015,4.70872612697915,77.28
"101",20866,2016,3.95532994666249,309.333333333333
"102",19943,2015,5.08542421713748,223.222222222222
"103",20739,2016,2.63688663110833,195.714285714286
"104",12007,2014,0,0
"105",13039,2014,0,0
"106",12825,2014,2.44853758602916,217.692307692308
"107",12364,2014,2.07183949587083,581.181818181818
"108",12576,2014,2.07183949587083,310.363636363636
"109",13466,2014,2.44853758602916,238.076923076923
"110",13179,2014,2.07183949587083,439.454545454545
"111",22038,2016,1.69514140571249,81.7777777777778
"112",20064,2016,1.88349045079166,559.2
"113",21599,2016,3.20193376634582,81.1764705882353
"114",21599,2017,3.76698090158332,337.55
"115",21299,2016,4.70872612697915,432.32
"116",21086,2016,1.88349045079166,339
"117",22089,2016,2.26018854094999,84.3333333333333
"118",12177,2016,4.33202803682082,658.739130434783
"119",12348,2016,2.26018854094999,510.833333333333
"120",13114,2016,2.44853758602916,366
"121",13114,2017,2.26018854094999,471.833333333333
"122",22363,2016,0,0
"123",13487,2016,3.01358472126666,388.8125
"124",21333,2016,0.565047135237498,489
"125",12613,2016,2.26018854094999,467.5
"126",12678,2014,2.26018854094999,205.5
